Name;Owner Type;Created at (Year);Created at (Month);Created at (Day);Last Updated at (Year);Last Updated at (Month);Last Updated at (Day);Size;Stars;Watchers;Language;Has Wiki;Forks;Open Issues;Num. Cmts. Dom;Num. Cmts. Seg;Num. Cmts. Ter;Num. Cmts. Qua;Num. Cmts. Qui;Num. Cmts. Sex;Num. Cmts. Sab;Total Commits
pointer.js;User;2012;4;4;2015;4;16;272;451;451;JavaScript;True;29;0;1;4;3;15;9;2;6;40
php-jenkins-template;User;2010;4;23;2015;4;7;3240;451;451;None;False;109;4;2;11;3;8;13;18;3;58
grunt-throttle;User;2013;10;22;2015;4;1;228;451;451;JavaScript;True;8;2;0;0;5;0;5;7;0;17
tweetanium;Organization;2011;1;14;2015;4;2;1499;451;451;JavaScript;False;96;8;0;0;1;0;0;7;0;8
socialization;User;2012;1;14;2015;4;16;691;450;450;Ruby;True;91;17;18;5;25;27;13;4;7;99
RiftSketch;User;2013;6;1;2015;4;22;2744;450;450;JavaScript;True;57;25;20;6;15;2;8;14;22;87
scanty;User;2008;11;4;2015;4;18;274;448;448;Ruby;True;99;12;8;13;10;23;9;9;2;74
dvm;User;2014;1;5;2015;4;12;1324;447;447;Shell;True;67;10;23;20;12;16;25;11;2;109
ScipySuperpack;User;2011;11;30;2015;4;19;1378018;447;447;Shell;True;67;2;15;48;33;35;38;78;16;263
aws-ses;User;2011;1;25;2015;4;17;397;447;447;Ruby;True;58;16;1;9;8;36;10;8;1;73
elephantdb;User;2011;2;16;2015;4;21;3037;447;447;Java;True;35;4;51;147;149;91;115;74;22;649
r18n;User;2008;12;24;2015;4;21;2182;446;446;Ruby;False;66;5;119;122;92;107;124;132;89;785
imgix.js;Organization;2013;7;19;2015;4;16;1160;445;445;JavaScript;True;18;0;2;20;27;30;44;51;1;175
Dashboard;User;2010;4;8;2015;3;21;28192;445;445;JavaScript;True;54;0;6;1;1;3;3;6;7;27
django-drip;Organization;2012;10;28;2015;4;2;736;445;445;Python;True;63;8;13;22;19;5;40;5;3;107
Android-Image-Cache;Organization;2011;11;9;2015;4;18;1473;445;445;None;True;284;3;8;8;11;32;21;10;9;99
TouchXML;Organization;2011;1;13;2015;3;30;1732;444;444;C;True;153;11;5;24;19;11;13;18;24;114
rush;User;2008;2;10;2015;4;20;916;444;444;Ruby;True;75;16;53;39;74;34;39;34;22;295
confidence;Organization;2014;3;18;2015;4;20;2214;444;444;JavaScript;True;17;0;17;26;28;20;5;10;0;106
starwars-dot-gif;User;2013;9;29;2015;3;27;3163;444;444;Python;True;42;3;14;7;14;7;8;6;3;59
foggy;User;2012;9;3;2015;4;19;253;444;444;CSS;True;70;8;7;6;3;1;2;6;5;30
SafariOmnibar;User;2011;7;11;2015;4;21;208;443;443;Objective-C;False;29;31;4;20;17;7;0;1;8;57
jQuery-Mobile-Icon-Pack;User;2012;2;27;2015;3;31;13493;443;443;CSS;True;146;3;11;13;16;15;13;17;14;99
calatrava;Organization;2012;5;11;2015;4;15;40624;443;443;JavaScript;True;72;25;52;61;43;39;33;25;42;295
workflow;User;2012;5;30;2015;4;4;247;442;442;Python;True;39;2;2;0;1;28;8;0;0;39
